pub_date	category	title	venue	excerpt	citation	url_slug	paper_url	slides_url
2024-07-01	conferences	Priming boundaries in production: Data from French 	Proceedings of the 12th International Conference on Speech Prosody		<strong>Bevivino, D.</strong>, Huygevelde, M., Hemforth, B., & Turco, G. (2024). Priming boundaries in production: Data from French. <em>Proceedings of the 12th International Conference on Speech Prosody</em>, 1005–1009. <a href="https://doi.org/10.21437/SpeechProsody.2024-203">https://doi.org/10.21437/SpeechProsody.2024-203</a>	bevivino-sp-2024		
2023-08-01	conferences	Data from online production experiments and challenges for collecting good-quality recordings for prosodic analyses 	Proceedings of the 20th International Congress of Phonetic Sciences (ICPhS 2023)		<strong>Bevivino, D</strong>., Hemforth, B., & Turco, G. (2023). Data from online production experiments and challenges for collecting good-quality recordings for prosodic analyses. In: R. Skarnitzl & J. Volín (Eds.), <em>Proceedings of the 20th International Congress of Phonetic Sciences (ICPhS 2023)</em> (pp. 3452–3456). International Phonetic Association. <a href="https://www.internationalphoneticassociation.org/icphs-proceedings/ICPhS2023/full_papers/152.pdf">https://www.internationalphoneticassociation.org/icphs-proceedings/ICPhS2023/full_papers/152.pdf</a>	bevivino-icphs-2023		
2025-10-01	inprogress	Big Team Science for language science: Opportunities and challenges 	Linguistics: An Interdisciplinary Journal of the Language Sciences		Faytak, M., _. Kadavá, O. Özsoy, C. Xu, […], <strong>Bevivino, D.</strong>, […], & Buchanan, E.M. and Roettger, T.B. (accepted). Big Team Science for Language Science: Opportunities and Challenges [preprint at <a href="https://osf.io/3pkj6">https://osf.io/3pkj6</a>]	faytak-bts-2025		
2025-11-01	inprogress	Intonational phrase boundaries can be primed in production	in prep		<strong>Bevivino, D.</strong>, Turco, G., & Hemforth, B. Intonational phrase boundaries can be primed in Production [pre-registered at <a href="https://doi.org/10.17605/OSF.IO/Z24KE">doi.org/10.17605/OSF.IO/Z24KE</a>]	bevivino-ppen-2025		
2025-12-01	inprogress	Priming effects of delexicalized prosodic phrasing on implicit prosody and sentence processing - An eye-tracking study in French	in prep		<strong>Bevivino, D</strong>., Hemforth, B., & Turco, G. Priming effects of delexicalized prosodic phrasing on implicit prosody and sentence processing - An eye-tracking study in French [pre-registered at <a href="https://doi.org/10.17605/OSF.IO/SY5UW">doi.org/10.17605/OSF.IO/SY5UW</a> and at <a href="https://doi.org/10.17605/OSF.IO/9QP6K">doi.org/10.17605/OSF.IO/9QP6K</a>]	bevivino-bap-2025
EXTRALINE TO RUN LAST ITEM SAFELY
